"","indicat_procedure","airport","SID/STAR","procedure","entry_exit_waypoint","Runway","waypoint","dist(NM)","Rumo(°)","FL_min","FL_max","Fl_exato","Pto_espera","Ang_espera_1","Ang_espera_2","Merge point","way","procedure_set","lat_air","long_air","lat","long","indicat"
"1",1,"SBBR","SID","SID ANPAX 2A - LIXEM 1A RWY 29L-1","ARPON","29L","PISTA(SBBR)",NA,288,"42",NA,NA,"Não",NA,NA,"Não",1,"SID ANPAX 2A - LIXEM 1A RWY 29L",-15.871111,-47.918611,-15.86917,-47.92083,1
"2",1,"SBBR","SID","SID ANPAX 2A - LIXEM 1A RWY 29L-1","ARPON","29L","SAVGO",NA,NA,NA,NA,NA,"Não",NA,NA,"Não",1,"SID ANPAX 2A - LIXEM 1A RWY 29L",-15.871111,-47.918611,-15.886922222,-48.037852778,1
"3",1,"SBBR","SID","SID ANPAX 2A - LIXEM 1A RWY 29L-1","ARPON","29L","UKENA",6.5,54,NA,"70",NA,"Não",NA,NA,"Não",1,"SID ANPAX 2A - LIXEM 1A RWY 29L",-15.871111,-47.918611,-15.676227778,-47.777741667,1
"4",1,"SBBR","SID","SID ANPAX 2A - LIXEM 1A RWY 29L-1","ARPON","29L","ANPAX",21.6,107,NA,NA,NA,"Não",NA,NA,"Não",1,"SID ANPAX 2A - LIXEM 1A RWY 29L",-15.871111,-47.918611,-15.584269444,-47.718194444,1
"5",1,"SBBR","SID","SID ANPAX 2A - LIXEM 1A RWY 29L-1","ARPON","29L","FORMOSA",48.7,79,NA,NA,NA,"Não",NA,NA,"Não",1,"SID ANPAX 2A - LIXEM 1A RWY 29L",-15.871111,-47.918611,-15.55578,-47.34452,1
"6",1,"SBBR","SID","SID ANPAX 2A - LIXEM 1A RWY 29L-1","ARPON","29L","ARPON",NA,NA,NA,NA,NA,"Não",NA,NA,"Não",1,"SID ANPAX 2A - LIXEM 1A RWY 29L",-15.871111,-47.918611,-15.110555556,-46.643555556,1
"7",2,"SBBR","SID","SID ANPAX 2A - LIXEM 1A RWY 29L-2","KOLDA","29L","PISTA(SBBR)",NA,288,"42",NA,NA,"Não",NA,NA,"Não",2,"SID ANPAX 2A - LIXEM 1A RWY 29L",-15.871111,-47.918611,-15.86917,-47.92083,2
"8",2,"SBBR","SID","SID ANPAX 2A - LIXEM 1A RWY 29L-2","KOLDA","29L","SAVGO",NA,NA,NA,NA,NA,"Não",NA,NA,"Não",2,"SID ANPAX 2A - LIXEM 1A RWY 29L",-15.871111,-47.918611,-15.886922222,-48.037852778,2
"9",2,"SBBR","SID","SID ANPAX 2A - LIXEM 1A RWY 29L-2","KOLDA","29L","UKENA",6.5,54,NA,"70",NA,"Não",NA,NA,"Não",2,"SID ANPAX 2A - LIXEM 1A RWY 29L",-15.871111,-47.918611,-15.676227778,-47.777741667,2
"10",2,"SBBR","SID","SID ANPAX 2A - LIXEM 1A RWY 29L-2","KOLDA","29L","ANPAX",21.6,107,NA,NA,NA,"Não",NA,NA,"Não",2,"SID ANPAX 2A - LIXEM 1A RWY 29L",-15.871111,-47.918611,-15.584269444,-47.718194444,2
"11",2,"SBBR","SID","SID ANPAX 2A - LIXEM 1A RWY 29L-2","KOLDA","29L","FORMOSA",13.9,81,NA,NA,NA,"Não",NA,NA,"Não",2,"SID ANPAX 2A - LIXEM 1A RWY 29L",-15.871111,-47.918611,-15.55578,-47.34452,2
"12",2,"SBBR","SID","SID ANPAX 2A - LIXEM 1A RWY 29L-2","KOLDA","29L","KOLDA",NA,NA,NA,NA,NA,"Não",NA,NA,"Não",2,"SID ANPAX 2A - LIXEM 1A RWY 29L",-15.871111,-47.918611,-15.4365,-47.14016667,2
"13",3,"SBBR","SID","SID ANPAX 2A - LIXEM 1A RWY 29L-3","PANOK","29L","PISTA(SBBR)",NA,288,"42",NA,NA,"Não",NA,NA,"Não",3,"SID ANPAX 2A - LIXEM 1A RWY 29L",-15.871111,-47.918611,-15.86917,-47.92083,3
"14",3,"SBBR","SID","SID ANPAX 2A - LIXEM 1A RWY 29L-3","PANOK","29L","SAVGO",NA,NA,NA,NA,NA,"Não",NA,NA,"Não",3,"SID ANPAX 2A - LIXEM 1A RWY 29L",-15.871111,-47.918611,-15.886922222,-48.037852778,3
"15",3,"SBBR","SID","SID ANPAX 2A - LIXEM 1A RWY 29L-3","PANOK","29L","UKENA",6.5,54,NA,"70",NA,"Não",NA,NA,"Não",3,"SID ANPAX 2A - LIXEM 1A RWY 29L",-15.871111,-47.918611,-15.676227778,-47.777741667,3
"16",3,"SBBR","SID","SID ANPAX 2A - LIXEM 1A RWY 29L-3","PANOK","29L","ANPAX",29.7,54,NA,NA,NA,"Não",NA,NA,"Não",3,"SID ANPAX 2A - LIXEM 1A RWY 29L",-15.871111,-47.918611,-15.584269444,-47.718194444,3
"17",3,"SBBR","SID","SID ANPAX 2A - LIXEM 1A RWY 29L-3","PANOK","29L","PANOK",NA,NA,NA,NA,NA,"Não",NA,NA,"Não",3,"SID ANPAX 2A - LIXEM 1A RWY 29L",-15.871111,-47.918611,-15.16266667,-47.446,3
"18",4,"SBBR","SID","SID ANPAX 2A - LIXEM 1A RWY 29L-4","KOGLI","29L","PISTA(SBBR)",NA,288,"42",NA,NA,"Não",NA,NA,"Não",4,"SID ANPAX 2A - LIXEM 1A RWY 29L",-15.871111,-47.918611,-15.86917,-47.92083,4
"19",4,"SBBR","SID","SID ANPAX 2A - LIXEM 1A RWY 29L-4","KOGLI","29L","SAVGO",NA,NA,NA,NA,NA,"Não",NA,NA,"Não",4,"SID ANPAX 2A - LIXEM 1A RWY 29L",-15.871111,-47.918611,-15.886922222,-48.037852778,4
"20",4,"SBBR","SID","SID ANPAX 2A - LIXEM 1A RWY 29L-4","KOGLI","29L","LIXEM",43.2,11,NA,"90",NA,"Não",NA,NA,"Não",4,"SID ANPAX 2A - LIXEM 1A RWY 29L",-15.871111,-47.918611,-15.674966667,-47.937691667,4
"21",4,"SBBR","SID","SID ANPAX 2A - LIXEM 1A RWY 29L-4","KOGLI","29L","KOGLI",NA,NA,NA,NA,NA,"Não",NA,NA,"Não",4,"SID ANPAX 2A - LIXEM 1A RWY 29L",-15.871111,-47.918611,-14.965,-48.07716667,4
"22",5,"SBBR","SID","SID FSA 3A - OTAFO 1A RWY 11L-1","ARPON","11L","PISTA(SBBR)",NA,108,"41",NA,NA,"Não",NA,NA,"Não",1,"SID FSA 3A - OTAFO 1A RWY 11L",-15.871111,-47.918611,-15.86917,-47.92083,5
"23",5,"SBBR","SID","SID FSA 3A - OTAFO 1A RWY 11L-1","ARPON","11L","KOTVU",28.1,73,"90",NA,NA,"Não",NA,NA,"Não",1,"SID FSA 3A - OTAFO 1A RWY 11L",-15.871111,-47.918611,-15.850472222,-47.725222222,5
"24",5,"SBBR","SID","SID FSA 3A - OTAFO 1A RWY 11L-1","ARPON","11L","FORMOSA",48.7,79,NA,NA,NA,"Não",NA,NA,"Não",1,"SID FSA 3A - OTAFO 1A RWY 11L",-15.871111,-47.918611,-15.55578,-47.34452,5
"25",5,"SBBR","SID","SID FSA 3A - OTAFO 1A RWY 11L-1","ARPON","11L","ARPON",NA,NA,NA,NA,NA,"Não",NA,NA,"Não",1,"SID FSA 3A - OTAFO 1A RWY 11L",-15.871111,-47.918611,-15.110555556,-46.643555556,5
"26",6,"SBBR","SID","SID FSA 3A - OTAFO 1A RWY 11L-2","KOLDA","11L","PISTA(SBBR)",NA,108,"41",NA,NA,"Não",NA,NA,"Não",2,"SID FSA 3A - OTAFO 1A RWY 11L",-15.871111,-47.918611,-15.86917,-47.92083,6
"27",6,"SBBR","SID","SID FSA 3A - OTAFO 1A RWY 11L-2","KOLDA","11L","KOTVU",28.1,73,NA,"90",NA,"Não",NA,NA,"Não",2,"SID FSA 3A - OTAFO 1A RWY 11L",-15.871111,-47.918611,-15.850472222,-47.725222222,6
"28",6,"SBBR","SID","SID FSA 3A - OTAFO 1A RWY 11L-2","KOLDA","11L","FORMOSA",13.9,81,NA,NA,NA,"Não",NA,NA,"Não",2,"SID FSA 3A - OTAFO 1A RWY 11L",-15.871111,-47.918611,-15.55578,-47.34452,6
"29",6,"SBBR","SID","SID FSA 3A - OTAFO 1A RWY 11L-2","KOLDA","11L","KOLDA",NA,NA,NA,NA,NA,"Não",NA,NA,"Não",2,"SID FSA 3A - OTAFO 1A RWY 11L",-15.871111,-47.918611,-15.4365,-47.14016667,6
"30",7,"SBBR","SID","SID FSA 3A - OTAFO 1A RWY 11L-3","OTAFO","11L","PISTA(SBBR)",NA,108,"41",NA,NA,"Não",NA,NA,"Não",3,"SID FSA 3A - OTAFO 1A RWY 11L",-15.871111,-47.918611,-15.86917,-47.92083,7
"31",7,"SBBR","SID","SID FSA 3A - OTAFO 1A RWY 11L-3","OTAFO","11L","KOTVU",20.2,107,"90",NA,NA,"Não",NA,NA,"Não",3,"SID FSA 3A - OTAFO 1A RWY 11L",-15.871111,-47.918611,-15.850472222,-47.725222222,7
"32",7,"SBBR","SID","SID FSA 3A - OTAFO 1A RWY 11L-3","OTAFO","11L","OTAFO",NA,NA,NA,NA,NA,"Não",NA,NA,"Não",3,"SID FSA 3A - OTAFO 1A RWY 11L",-15.871111,-47.918611,-15.825591667,-47.377258333,7
"33",8,"SBBR","SID","SID IRITU 1A RWY 11L-1","OPRAX","11L","PISTA(SBBR)",NA,108,"41",NA,NA,"Não",NA,NA,"Não",1,"SID IRITU 1A RWY 11L",-15.871111,-47.918611,-15.86917,-47.92083,8
"34",8,"SBBR","SID","SID IRITU 1A RWY 11L-1","OPRAX","11L","IRITU",11.8,225,NA,"90",NA,"Não",NA,NA,"Não",1,"SID IRITU 1A RWY 11L",-15.871111,-47.918611,-16.080730556,-47.889030556,8
"35",8,"SBBR","SID","SID IRITU 1A RWY 11L-1","OPRAX","11L","LUZIANIA",34.3,235,NA,NA,NA,"Não",NA,NA,"Não",1,"SID IRITU 1A RWY 11L",-15.871111,-47.918611,-16.2587,-47.9622,8
"36",8,"SBBR","SID","SID IRITU 1A RWY 11L-1","OPRAX","11L","OPRAX",NA,NA,NA,NA,NA,"Não",NA,NA,"Não",1,"SID IRITU 1A RWY 11L",-15.871111,-47.918611,-16.742166667,-48.299,8
"37",9,"SBBR","SID","SID IRITU 1A RWY 11L-2","ISOPI","11L","PISTA(SBBR)",NA,108,"41",NA,NA,"Não",NA,NA,"Não",2,"SID IRITU 1A RWY 11L",-15.871111,-47.918611,-15.86917,-47.92083,9
"38",9,"SBBR","SID","SID IRITU 1A RWY 11L-2","ISOPI","11L","IRITU",11.8,225,NA,"90",NA,"Não",NA,NA,"Não",2,"SID IRITU 1A RWY 11L",-15.871111,-47.918611,-16.080730556,-47.889030556,9
"39",9,"SBBR","SID","SID IRITU 1A RWY 11L-2","ISOPI","11L","LUZIANIA",34.3,156,NA,NA,NA,"Não",NA,NA,"Não",2,"SID IRITU 1A RWY 11L",-15.871111,-47.918611,-16.2587,-47.9622,9
"40",9,"SBBR","SID","SID IRITU 1A RWY 11L-2","ISOPI","11L","ISOPI",NA,NA,NA,NA,NA,"Não",NA,NA,"Não",2,"SID IRITU 1A RWY 11L",-15.871111,-47.918611,-16.6595,-47.54216667,9
"41",10,"SBBR","SID","SID KOGLI 1B - UKENA 2A RWY 29R-1","ARPON","29R","PISTA(SBBR)",NA,288,"42",NA,NA,"Não",NA,NA,"Não",1,"SID KOGLI 1B - UKENA 2A RWY 29R",-15.871111,-47.918611,-15.86917,-47.92083,10
"42",10,"SBBR","SID","SID KOGLI 1B - UKENA 2A RWY 29R-1","ARPON","29R","URERA",NA,NA,NA,NA,NA,"Não",NA,NA,"Não",1,"SID KOGLI 1B - UKENA 2A RWY 29R",-15.871111,-47.918611,-15.869580556,-48.021136111,10
"43",10,"SBBR","SID","SID KOGLI 1B - UKENA 2A RWY 29R-1","ARPON","29R","UKENA",6.5,54,NA,"70",NA,"Não",NA,NA,"Não",1,"SID KOGLI 1B - UKENA 2A RWY 29R",-15.871111,-47.918611,-15.676227778,-47.777741667,10
"44",10,"SBBR","SID","SID KOGLI 1B - UKENA 2A RWY 29R-1","ARPON","29R","ANPAX",21.6,107,NA,NA,NA,"Não",NA,NA,"Não",1,"SID KOGLI 1B - UKENA 2A RWY 29R",-15.871111,-47.918611,-15.584269444,-47.718194444,10
"45",10,"SBBR","SID","SID KOGLI 1B - UKENA 2A RWY 29R-1","ARPON","29R","FORMOSA",48.7,79,NA,NA,NA,"Não",NA,NA,"Não",1,"SID KOGLI 1B - UKENA 2A RWY 29R",-15.871111,-47.918611,-15.55578,-47.34452,10
"46",10,"SBBR","SID","SID KOGLI 1B - UKENA 2A RWY 29R-1","ARPON","29R","ARPON",NA,NA,NA,NA,NA,"Não",NA,NA,"Não",1,"SID KOGLI 1B - UKENA 2A RWY 29R",-15.871111,-47.918611,-15.110555556,-46.643555556,10
"47",11,"SBBR","SID","SID KOGLI 1B - UKENA 2A RWY 29R-2","KOLDA","29R","PISTA(SBBR)",NA,288,"42",NA,NA,"Não",NA,NA,"Não",2,"SID KOGLI 1B - UKENA 2A RWY 29R",-15.871111,-47.918611,-15.86917,-47.92083,11
"48",11,"SBBR","SID","SID KOGLI 1B - UKENA 2A RWY 29R-2","KOLDA","29R","URERA",NA,NA,NA,NA,NA,"Não",NA,NA,"Não",2,"SID KOGLI 1B - UKENA 2A RWY 29R",-15.871111,-47.918611,-15.869580556,-48.021136111,11
"49",11,"SBBR","SID","SID KOGLI 1B - UKENA 2A RWY 29R-2","KOLDA","29R","UKENA",6.5,54,NA,"70",NA,"Não",NA,NA,"Não",2,"SID KOGLI 1B - UKENA 2A RWY 29R",-15.871111,-47.918611,-15.676227778,-47.777741667,11
"50",11,"SBBR","SID","SID KOGLI 1B - UKENA 2A RWY 29R-2","KOLDA","29R","ANPAX",21.6,107,NA,NA,NA,"Não",NA,NA,"Não",2,"SID KOGLI 1B - UKENA 2A RWY 29R",-15.871111,-47.918611,-15.584269444,-47.718194444,11
"51",11,"SBBR","SID","SID KOGLI 1B - UKENA 2A RWY 29R-2","KOLDA","29R","FORMOSA",13.9,81,NA,NA,NA,"Não",NA,NA,"Não",2,"SID KOGLI 1B - UKENA 2A RWY 29R",-15.871111,-47.918611,-15.55578,-47.34452,11
"52",11,"SBBR","SID","SID KOGLI 1B - UKENA 2A RWY 29R-2","KOLDA","29R","KOLDA",NA,NA,NA,NA,NA,"Não",NA,NA,"Não",2,"SID KOGLI 1B - UKENA 2A RWY 29R",-15.871111,-47.918611,-15.4365,-47.14016667,11
"53",12,"SBBR","SID","SID KOGLI 1B - UKENA 2A RWY 29R-3","PANOK","29R","PISTA(SBBR)",NA,288,"42",NA,NA,"Não",NA,NA,"Não",3,"SID KOGLI 1B - UKENA 2A RWY 29R",-15.871111,-47.918611,-15.86917,-47.92083,12
"54",12,"SBBR","SID","SID KOGLI 1B - UKENA 2A RWY 29R-3","PANOK","29R","URERA",NA,NA,NA,NA,NA,"Não",NA,NA,"Não",3,"SID KOGLI 1B - UKENA 2A RWY 29R",-15.871111,-47.918611,-15.869580556,-48.021136111,12
"55",12,"SBBR","SID","SID KOGLI 1B - UKENA 2A RWY 29R-3","PANOK","29R","UKENA",6.5,54,NA,"70",NA,"Não",NA,NA,"Não",3,"SID KOGLI 1B - UKENA 2A RWY 29R",-15.871111,-47.918611,-15.676227778,-47.777741667,12
"56",12,"SBBR","SID","SID KOGLI 1B - UKENA 2A RWY 29R-3","PANOK","29R","ANPAX",29.7,54,NA,NA,NA,"Não",NA,NA,"Não",3,"SID KOGLI 1B - UKENA 2A RWY 29R",-15.871111,-47.918611,-15.584269444,-47.718194444,12
"57",12,"SBBR","SID","SID KOGLI 1B - UKENA 2A RWY 29R-3","PANOK","29R","PANOK",NA,NA,NA,NA,NA,"Não",NA,NA,"Não",3,"SID KOGLI 1B - UKENA 2A RWY 29R",-15.871111,-47.918611,-15.16266667,-47.446,12
"58",13,"SBBR","SID","SID KOGLI 1B - UKENA 2A RWY 29R-4","KOGLI","29R","PISTA(SBBR)",NA,288,"42",NA,NA,"Não",NA,NA,"Não",4,"SID KOGLI 1B - UKENA 2A RWY 29R",-15.871111,-47.918611,-15.86917,-47.92083,13
"59",13,"SBBR","SID","SID KOGLI 1B - UKENA 2A RWY 29R-4","KOGLI","29R","URERA",NA,NA,NA,NA,NA,"Não",NA,NA,"Não",4,"SID KOGLI 1B - UKENA 2A RWY 29R",-15.871111,-47.918611,-15.869580556,-48.021136111,13
"60",13,"SBBR","SID","SID KOGLI 1B - UKENA 2A RWY 29R-4","KOGLI","29R","LIXEM",43.2,11,NA,"90",NA,"Não",NA,NA,"Não",4,"SID KOGLI 1B - UKENA 2A RWY 29R",-15.871111,-47.918611,-15.674966667,-47.937691667,13
"61",13,"SBBR","SID","SID KOGLI 1B - UKENA 2A RWY 29R-4","KOGLI","29R","KOGLI",NA,NA,NA,NA,NA,"Não",NA,NA,"Não",4,"SID KOGLI 1B - UKENA 2A RWY 29R",-15.871111,-47.918611,-14.965,-48.07716667,13
"62",14,"SBBR","SID","SID KOTVU 1A RWY 11R-1","ARPON","11R","PISTA(SBBR)",NA,108,"41",NA,NA,"Não",NA,NA,"Não",1,"SID KOTVU 1A RWY 11R",-15.871111,-47.918611,-15.86917,-47.92083,14
"63",14,"SBBR","SID","SID KOTVU 1A RWY 11R-1","ARPON","11R","KOTVU",28.1,73,NA,"90",NA,"Não",NA,NA,"Não",1,"SID KOTVU 1A RWY 11R",-15.871111,-47.918611,-15.850472222,-47.725222222,14
"64",14,"SBBR","SID","SID KOTVU 1A RWY 11R-1","ARPON","11R","FORMOSA",48.7,79,NA,NA,NA,"Não",NA,NA,"Não",1,"SID KOTVU 1A RWY 11R",-15.871111,-47.918611,-15.55578,-47.34452,14
"65",14,"SBBR","SID","SID KOTVU 1A RWY 11R-1","ARPON","11R","ARPON",NA,NA,NA,NA,NA,"Não",NA,NA,"Não",1,"SID KOTVU 1A RWY 11R",-15.871111,-47.918611,-15.110555556,-46.643555556,14
"66",15,"SBBR","SID","SID KOTVU 1A RWY 11R-2","KOLDA","11R","PISTA(SBBR)",NA,108,"41",NA,NA,"Não",NA,NA,"Não",2,"SID KOTVU 1A RWY 11R",-15.871111,-47.918611,-15.86917,-47.92083,15
"67",15,"SBBR","SID","SID KOTVU 1A RWY 11R-2","KOLDA","11R","KOTVU",28.1,73,NA,"90",NA,"Não",NA,NA,"Não",2,"SID KOTVU 1A RWY 11R",-15.871111,-47.918611,-15.850472222,-47.725222222,15
"68",15,"SBBR","SID","SID KOTVU 1A RWY 11R-2","KOLDA","11R","FORMOSA",13.9,81,NA,NA,NA,"Não",NA,NA,"Não",2,"SID KOTVU 1A RWY 11R",-15.871111,-47.918611,-15.55578,-47.34452,15
"69",15,"SBBR","SID","SID KOTVU 1A RWY 11R-2","KOLDA","11R","KOLDA",NA,NA,NA,NA,NA,"Não",NA,NA,"Não",2,"SID KOTVU 1A RWY 11R",-15.871111,-47.918611,-15.4365,-47.14016667,15
"70",16,"SBBR","SID","SID KOTVU 1A RWY 11R-3","OTAFO","11R","PISTA(SBBR)",NA,108,"41",NA,NA,"Não",NA,NA,"Não",3,"SID KOTVU 1A RWY 11R",-15.871111,-47.918611,-15.86917,-47.92083,16
"71",16,"SBBR","SID","SID KOTVU 1A RWY 11R-3","OTAFO","11R","KOTVU",20.2,107,NA,"90",NA,"Não",NA,NA,"Não",3,"SID KOTVU 1A RWY 11R",-15.871111,-47.918611,-15.850472222,-47.725222222,16
"72",16,"SBBR","SID","SID KOTVU 1A RWY 11R-3","OTAFO","11R","OTAFO",NA,NA,NA,NA,NA,"Não",NA,NA,"Não",3,"SID KOTVU 1A RWY 11R",-15.871111,-47.918611,-15.825591667,-47.377258333,16
"73",17,"SBBR","SID","SID LUZ 1A RWY 29L-1","OPRAX","29L","PISTA(SBBR)",NA,288,"42",NA,NA,"Não",NA,NA,"Não",1,"SID LUZ 1A RWY 29L",-15.871111,-47.918611,-15.86917,-47.92083,17
"74",17,"SBBR","SID","SID LUZ 1A RWY 29L-1","OPRAX","29L","UTGEN",11,205,NA,"100",NA,"Não",NA,NA,"Não",1,"SID LUZ 1A RWY 29L",-15.871111,-47.918611,-16.077552778,-47.958622222,17
"75",17,"SBBR","SID","SID LUZ 1A RWY 29L-1","OPRAX","29L","LUZIANIA",34.3,235,NA,NA,NA,"Não",NA,NA,"Não",1,"SID LUZ 1A RWY 29L",-15.871111,-47.918611,-16.2587,-47.9622,17
"76",17,"SBBR","SID","SID LUZ 1A RWY 29L-1","OPRAX","29L","OPRAX",NA,NA,NA,NA,NA,"Não",NA,NA,"Não",1,"SID LUZ 1A RWY 29L",-15.871111,-47.918611,-16.742166667,-48.299,17
"77",18,"SBBR","SID","SID LUZ 1A RWY 29L-2","ISOPI","29L","PISTA(SBBR)",NA,288,"42",NA,NA,"Não",NA,NA,"Não",2,"SID LUZ 1A RWY 29L",-15.871111,-47.918611,-15.86917,-47.92083,18
"78",18,"SBBR","SID","SID LUZ 1A RWY 29L-2","ISOPI","29L","UTGEN",11,205,NA,"100",NA,"Não",NA,NA,"Não",2,"SID LUZ 1A RWY 29L",-15.871111,-47.918611,-16.077552778,-47.958622222,18
"79",18,"SBBR","SID","SID LUZ 1A RWY 29L-2","ISOPI","29L","LUZIANIA",34.3,156,NA,NA,NA,"Não",NA,NA,"Não",2,"SID LUZ 1A RWY 29L",-15.871111,-47.918611,-16.2587,-47.9622,18
"80",18,"SBBR","SID","SID LUZ 1A RWY 29L-2","ISOPI","29L","ISOPI",NA,NA,NA,NA,NA,"Não",NA,NA,"Não",2,"SID LUZ 1A RWY 29L",-15.871111,-47.918611,-16.6595,-47.54216667,18
"81",19,"SBBR","SID","SID LUZ 2D RWY 11R-1","OPRAX","11R","PISTA(SBBR)",NA,288,"42",NA,NA,"Não",NA,NA,"Não",1,"SID LUZ 2D RWY 11R",-15.871111,-47.918611,-15.86917,-47.92083,19
"82",19,"SBBR","SID","SID LUZ 2D RWY 11R-1","OPRAX","11R","IRITU",11.8,225,NA,"90",NA,"Não",NA,NA,"Não",1,"SID LUZ 2D RWY 11R",-15.871111,-47.918611,-16.080730556,-47.889030556,19
"83",19,"SBBR","SID","SID LUZ 2D RWY 11R-1","OPRAX","11R","LUZIANIA",34.3,235,NA,NA,NA,"Não",NA,NA,"Não",1,"SID LUZ 2D RWY 11R",-15.871111,-47.918611,-16.2587,-47.9622,19
"84",19,"SBBR","SID","SID LUZ 2D RWY 11R-1","OPRAX","11R","OPRAX",NA,NA,NA,NA,NA,"Não",NA,NA,"Não",1,"SID LUZ 2D RWY 11R",-15.871111,-47.918611,-16.742166667,-48.299,19
"85",20,"SBBR","SID","SID LUZ 2D RWY 11R-2","ISOPI","11R","PISTA(SBBR)",NA,288,"42",NA,NA,"Não",NA,NA,"Não",2,"SID LUZ 2D RWY 11R",-15.871111,-47.918611,-15.86917,-47.92083,20
"86",20,"SBBR","SID","SID LUZ 2D RWY 11R-2","ISOPI","11R","IRITU",11.8,225,NA,"90",NA,"Não",NA,NA,"Não",2,"SID LUZ 2D RWY 11R",-15.871111,-47.918611,-16.080730556,-47.889030556,20
"87",20,"SBBR","SID","SID LUZ 2D RWY 11R-2","ISOPI","11R","LUZIANIA",34.3,156,NA,NA,NA,"Não",NA,NA,"Não",2,"SID LUZ 2D RWY 11R",-15.871111,-47.918611,-16.2587,-47.9622,20
"88",20,"SBBR","SID","SID LUZ 2D RWY 11R-2","ISOPI","11R","ISOPI",NA,NA,NA,NA,NA,"Não",NA,NA,"Não",2,"SID LUZ 2D RWY 11R",-15.871111,-47.918611,-16.6595,-47.54216667,20
"89",21,"SBBR","SID","SID MIBIS 1A RWY 11R-1","PANOK","11R","PISTA(SBBR)",NA,108,"41",NA,NA,"Não",NA,NA,"Não",1,"SID MIBIS 1A RWY 11R",-15.871111,-47.918611,-15.86917,-47.92083,21
"90",21,"SBBR","SID","SID MIBIS 1A RWY 11R-1","PANOK","11R","MIBIS",NA,NA,NA,NA,NA,"Não",NA,NA,"Não",1,"SID MIBIS 1A RWY 11R",-15.871111,-47.918611,-15.86515,-47.700291667,21
"91",21,"SBBR","SID","SID MIBIS 1A RWY 11R-1","PANOK","11R","TONUN",NA,54,NA,"100",NA,"Não",NA,NA,"Não",1,"SID MIBIS 1A RWY 11R",-15.871111,-47.918611,-15.701172222,-47.793905556,21
"92",21,"SBBR","SID","SID MIBIS 1A RWY 11R-1","PANOK","11R","PANOK",NA,NA,NA,NA,NA,"Não",NA,NA,"Não",1,"SID MIBIS 1A RWY 11R",-15.871111,-47.918611,-15.16266667,-47.446,21
"93",22,"SBBR","SID","SID MIBIS 1A RWY 11R-2","KOGLI","11R","PISTA(SBBR)",NA,108,"41",NA,NA,"Não",NA,NA,"Não",2,"SID MIBIS 1A RWY 11R",-15.871111,-47.918611,-15.86917,-47.92083,22
"94",22,"SBBR","SID","SID MIBIS 1A RWY 11R-2","KOGLI","11R","MIBIS",NA,NA,NA,NA,NA,"Não",NA,NA,"Não",2,"SID MIBIS 1A RWY 11R",-15.871111,-47.918611,-15.86515,-47.700291667,22
"95",22,"SBBR","SID","SID MIBIS 1A RWY 11R-2","KOGLI","11R","TONUN",NA,11,NA,"100",NA,"Não",NA,NA,"Não",2,"SID MIBIS 1A RWY 11R",-15.871111,-47.918611,-15.701172222,-47.793905556,22
"96",22,"SBBR","SID","SID MIBIS 1A RWY 11R-2","KOGLI","11R","KOGLI",NA,NA,NA,NA,NA,"Não",NA,NA,"Não",2,"SID MIBIS 1A RWY 11R",-15.871111,-47.918611,-14.965,-48.07716667,22
"97",23,"SBBR","SID","SID NIRDI 1A RWY 11L-1","PANOK","11L","PISTA(SBBR)",NA,108,"41",NA,NA,"Não",NA,NA,"Não",1,"SID NIRDI 1A RWY 11L",-15.871111,-47.918611,-15.86917,-47.92083,23
"98",23,"SBBR","SID","SID NIRDI 1A RWY 11L-1","PANOK","11L","NIRDI",NA,NA,NA,NA,NA,"Não",NA,NA,"Não",1,"SID NIRDI 1A RWY 11L",-15.871111,-47.918611,-15.847494444,-47.701119444,23
"99",23,"SBBR","SID","SID NIRDI 1A RWY 11L-1","PANOK","11L","TONUN",NA,54,NA,"100",NA,"Não",NA,NA,"Não",1,"SID NIRDI 1A RWY 11L",-15.871111,-47.918611,-15.701172222,-47.793905556,23
"100",23,"SBBR","SID","SID NIRDI 1A RWY 11L-1","PANOK","11L","PANOK",NA,NA,NA,NA,NA,"Não",NA,NA,"Não",1,"SID NIRDI 1A RWY 11L",-15.871111,-47.918611,-15.16266667,-47.446,23
"101",24,"SBBR","SID","SID NIRDI 1A RWY 11L-2","KOGLI","11L","PISTA(SBBR)",NA,108,"41",NA,NA,"Não",NA,NA,"Não",2,"SID NIRDI 1A RWY 11L",-15.871111,-47.918611,-15.86917,-47.92083,24
"102",24,"SBBR","SID","SID NIRDI 1A RWY 11L-2","KOGLI","11L","NIRDI",NA,NA,NA,NA,NA,"Não",NA,NA,"Não",2,"SID NIRDI 1A RWY 11L",-15.871111,-47.918611,-15.847494444,-47.701119444,24
"103",24,"SBBR","SID","SID NIRDI 1A RWY 11L-2","KOGLI","11L","TONUN",NA,11,NA,"100",NA,"Não",NA,NA,"Não",2,"SID NIRDI 1A RWY 11L",-15.871111,-47.918611,-15.701172222,-47.793905556,24
"104",24,"SBBR","SID","SID NIRDI 1A RWY 11L-2","KOGLI","11L","KOGLI",NA,NA,NA,NA,NA,"Não",NA,NA,"Não",2,"SID NIRDI 1A RWY 11L",-15.871111,-47.918611,-14.965,-48.07716667,24
